DateTime,AddedIPs,RemovedIPs
1536900309,75,18
1536901207,94,28
1536902107,136,39
1536903009,141,45
1536903910,165,61
1536904808,138,44
1536905709,174,58
1536906608,160,65
1536907509,160,53
1536908408,137,45
1536909308,160,33
1536910208,156,59
1536911108,167,118
1536912007,140,84
1536912908,154,70
1536913807,189,71
1536914707,193,76
1536915607,221,93
1536916508,251,121
1536917405,249,91
1536918307,266,104
1536919205,272,106
1536920106,285,215
1536921005,281,124
1536921906,301,173
1536922805,284,122
1536923704,448,185
1536924604,393,198
1536925504,417,212
1536926404,435,199
1536927304,425,193
1536928205,448,227
1536929104,411,216
1536930004,437,229
1536930904,2515,814
1536931805,800,275
1536932705,654,283
1536933604,733,236
1536934504,372,208
1536935403,392,210
1536936304,693,714
1536937204,634,791
1536938104,489,801
1536939003,384,917
1536939903,2148,725
1536940803,763,840
1536941702,1608,728
1536942603,975,737
1536943502,1005,637
1536944402,923,198
1536945303,727,188
1536946202,553,284
1536947103,543,276
1536948003,1115,238
1536948903,1645,255
1536949803,1435,259
1536950703,1167,251
1536951603,1101,264
1536952503,1039,260
1536953402,1141,1439
1536954304,965,534
1536955203,876,425
1536956104,957,494
1536957003,851,247
1536957904,862,245
1536958803,751,623
1536959703,658,2507
1536960605,765,2477
1536961504,748,2036
1536962404,896,2280
1536963304,714,1331
1536964204,874,2134
1536965104,563,1144
1536966004,627,848
1536966904,503,1277
1536967805,477,1901
1536968704,433,1376
1536969605,473,1112
1536970504,402,690
1536971404,436,872
1536972304,433,711
1536973204,414,1838
1536974106,418,1633
1536975007,405,914
1536975906,396,820
1536976806,433,531
1536977705,358,383
1536978606,517,1544
1536979507,391,663
1536980408,390,1438
1536981306,394,961
1536982207,419,821
1536983108,437,1224
1536984008,1086,1068
1536984908,768,684
1536985808,991,995
1536986707,1099,617
1536987607,1068,1429
1536988507,1104,872
1536989407,717,604
1536990308,798,377
1536991208,638,500
1536992108,673,356
1536993008,632,1093
1536993908,756,859
1536994807,815,1151
1536995709,828,1377
1536996608,651,995
1536997508,737,410
1536998408,679,542
1536999308,709,601
1537000208,781,539
1537001109,720,485
1537002009,607,484
1537002907,726,453
1537003809,746,691
1537004710,889,488
1537005609,717,680
1537006507,658,1001
1537007408,683,535
1537008309,711,370
1537009209,664,339
1537010109,666,1795
1537011008,655,755
1537011908,542,532
1537012809,538,608
1537013707,525,481
1537014608,424,462
1537015508,351,550
1537016407,351,399
1537017308,289,354
1537018208,272,531
1537019109,499,262
1537020009,385,357
1537020908,341,280
1537021809,315,272
1537022710,333,301
1537023609,368,579
1537024509,350,478
1537025409,266,478
1537026307,616,391
1537027209,503,177
1537028108,841,281
1537029008,729,473
1537029909,1007,664
1537030809,1035,942
1537031708,1180,1197
1537032608,909,697
1537033507,922,492
1537034408,833,863
1537035309,761,600
1537036208,718,553
1537037108,772,499
1537038008,742,695
1537038909,702,536
1537039808,622,394
1537040708,659,537
1537041608,626,659
1537042508,626,805
1537043407,580,760
1537044308,660,768
1537045208,634,567
1537046108,588,417
1537047007,694,672
1537047908,621,754
1537048808,544,649
1537049708,587,520
1537050607,679,604
1537051507,675,520
1537052407,660,708
1537053307,691,664
1537054207,767,611
1537055109,630,688
1537056007,616,1235
1537056907,595,1439
1537057807,511,1504
1537058707,492,691
1537059606,545,591
1537060506,545,645
1537061408,425,543
1537062308,453,469
1537063207,473,491
1537064108,487,508
1537065010,378,696
1537065908,405,667
1537066808,437,694
1537067708,325,876
1537068608,329,682
1537069508,377,481
1537070408,400,281
1537071309,307,248
1537072207,556,209
1537073109,622,240
1537074008,689,567
1537074909,700,802
1537075808,813,457
1537076708,780,460
1537077609,758,605
1537078507,896,640
1537079407,759,409
1537080307,794,434
1537081208,731,381
1537082108,719,292
1537083007,636,193
1537083907,640,185
1537084808,634,392
1537085707,568,280
1537086608,536,448
1537087507,567,582
1537088407,613,550
1537089307,600,764
1537090208,670,841
1537091108,578,1153
1537092008,519,893
1537092907,475,989
1537093807,515,993
1537094708,549,1024
1537095608,582,819
1537096508,584,1131
1537097407,597,998
1537098307,636,730
1537099208,590,706
1537100107,550,855
1537101008,497,716
1537101907,501,512
1537102807,564,412
1537103707,510,492
1537104608,601,491
1537105506,495,453
1537106408,434,346
1537107308,393,401
1537108208,363,408
1537109107,427,486
1537110008,417,336
1537110909,443,423
1537111809,466,515
1537112708,436,567
1537113608,419,421
1537114507,414,297
1537115409,363,367
1537116307,487,444
1537117207,545,536
1537118107,726,683
1537119010,727,1209
1537119909,783,761
1537120810,809,666
1537121709,706,515
1537122610,718,380
1537123509,719,682
1537124409,836,308
1537125309,806,531
1537126211,691,360
1537127109,633,324
1537128010,652,422
1537128909,563,433
1537129811,590,473
1537130710,578,390
1537131609,573,320
1537132508,493,224
1537133409,530,130
1537134309,485,581
1537135209,559,224
1537136109,437,290
1537137009,491,804
1537137908,509,366
1537138809,503,911
1537139709,442,236
1537140609,549,717
1537141509,516,607
1537142409,597,626
1537143309,470,746
1537144207,570,639
1537145108,528,1356
1537146009,576,551
1537146910,562,844
1537147810,559,1573
1537148708,528,727
1537149610,532,688
1537150509,448,1536
1537152309,922,1044
1537153209,396,575
1537154110,443,549
1537155009,408,238
1537155909,450,354
1537156809,413,258
1537157709,390,154
1537158609,551,99
1537159509,392,474
1537160409,539,567
1537161309,469,175
1537162209,643,238
1537163109,609,83
1537164009,647,155
1537164908,680,159
1537165808,744,124
1537166708,664,396
1537167608,709,113
1537168508,662,345
1537169408,850,255
1537170307,555,71
1537171207,698,16
1537172108,655,32
1537173008,648,38
1537173907,1026,170
1537174808,2392,1843
1537175708,596,1701
1537176609,629,1902
1537177509,584,2069
1537178410,669,1833
1537179309,634,1421
1537180207,585,2436
1537181110,610,2065
1537182008,590,1194
1537182908,610,573
1537183807,621,438
1537184709,629,370
1537185608,621,222
1537186509,682,279
1537187410,899,329
1537188309,780,352
1537189208,749,350
1537190109,836,448
1537191009,1159,553
1537191909,1145,531
1537192808,1021,465
1537193708,1033,593
1537195509,2027,1204
1537196409,846,418
1537197309,1009,520
1537198209,1267,675
1537199109,1221,742
1537200008,1090,823
1537200909,1074,867
1537201808,987,808
1537202709,975,952
1537203608,918,1253
1537204509,895,1086
1537205409,808,792
1537206308,825,752
1537207208,904,819
1537208108,499,347
1537209008,260,80
1537209907,270,85
1537210809,398,160
1537211708,257,99
1537212607,384,122
1537213508,413,117
1537214408,253,93
1537215307,246,82
1537216207,262,99
1537217108,248,99
1537218008,262,84
1537218906,214,164
1537219807,256,205
1537220706,254,209
1537221606,264,211
1537222506,261,228
1537223406,267,261
