DateTime,Entries,UniqueIPs
1536900309,9474,9474
1536901207,9540,9540
1536902107,9637,9637
1536903009,9733,9733
1536903910,9837,9837
1536904808,9931,9931
1536905709,10047,10047
1536906608,10142,10142
1536907509,10249,10249
1536908408,10341,10341
1536909308,10468,10468
1536910208,10565,10565
1536911108,10614,10614
1536912007,10670,10670
1536912908,10754,10754
1536913807,10872,10872
1536914707,10989,10989
1536915607,11117,11117
1536916508,11247,11247
1536917405,11405,11405
1536918307,11567,11567
1536919205,11733,11733
1536920106,11803,11803
1536921005,11960,11960
1536921906,12088,12088
1536922805,12250,12250
1536923704,12513,12513
1536924604,12708,12708
1536925504,12913,12913
1536926404,13149,13149
1536927304,13381,13381
1536928205,13602,13602
1536929104,13797,13797
1536930004,14005,14005
1536930904,15706,15706
1536931805,16231,16231
1536932705,16602,16602
1536933604,17099,17099
1536934504,17263,17263
1536935403,17445,17445
1536936304,17424,17424
1536937204,17267,17267
1536938104,16955,16955
1536939003,16422,16422
1536939903,17845,17845
1536940803,17768,17768
1536941702,18648,18648
1536942603,18886,18886
1536943502,19254,19254
1536944402,19979,19979
1536945303,20518,20518
1536946202,20787,20787
1536947103,21054,21054
1536948003,21931,21931
1536948903,23321,23321
1536949803,24497,24497
1536950703,25413,25413
1536951603,26250,26250
1536952503,27029,27029
1536953402,26731,26731
1536954304,27162,27162
1536955203,27613,27613
1536956104,28076,28076
1536957003,28680,28680
1536957904,29297,29297
1536958803,29425,29425
1536959703,27576,27576
1536960605,25864,25864
1536961504,24576,24576
1536962404,23192,23192
1536963304,22575,22575
1536964204,21315,21315
1536965104,20734,20734
1536966004,20513,20513
1536966904,19739,19739
1536967805,18315,18315
1536968704,17372,17372
1536969605,16733,16733
1536970504,16445,16445
1536971404,16009,16009
1536972304,15731,15731
1536973204,14307,14307
1536974106,13092,13092
1536975007,12583,12583
1536975906,12159,12159
1536976806,12061,12061
1536977705,12036,12036
1536978606,11009,11009
1536979507,10737,10737
1536980408,9689,9689
1536981306,9122,9122
1536982207,8720,8720
1536983108,7933,7933
1536984008,7951,7951
