DateTime,AddedIPs,RemovedIPs
1536779768,1,0
1536785045,0,1
1536785530,1,0
1536791290,0,1
1536793212,1,0
1536800885,2,9
1536801379,12,12
1536801850,11,7
1536802331,7,7
1536802805,5,7
1536803285,7,6
1536803765,6,9
1536804249,7,6
1536804725,7,8
1536805208,6,6
1536805686,12,9
1536806165,6,4
1536806645,4,6
1536807126,6,6
1536807622,6,5
1536808096,9,8
1536808566,7,7
1536809046,6,4
1536809529,5,6
1536810004,10,6
1536810488,3,7
1536810967,8,5
1536811448,4,5
1536811928,6,6
1536812405,8,10
1536812887,8,5
1536813369,8,8
1536813846,6,4
1536814328,6,7
1536814819,8,7
1536815288,6,4
1536815770,7,6
1536816244,5,7
1536816728,5,6
1536817208,6,3
1536817686,4,7
1536818169,9,7
1536818645,6,6
1536819126,3,5
1536819606,6,4
1536820085,5,8
1536820570,6,8
1536821048,10,6
1536821528,6,6
1536822014,6,6
1536822486,6,5
1536823207,8,7
1536823688,4,5
1536824164,6,9
1536824644,5,6
1536825132,8,7
1536825631,6,7
1536826086,13,11
1536826565,8,6
1536827046,6,3
1536827529,3,2
1536831845,0,1
1536832819,1,0
1536839525,0,2
1536840020,1,0
1536840981,1,0
1536851526,0,1
1536852010,1,0
1536855369,0,1
1536856805,1,0
1536869286,0,1
1536870729,0,1
1536871204,2,0
1536880566,0,1
1536881045,1,0
1536886326,0,1
1536887288,3,9
1536887766,12,8
1536888245,8,10
1536888729,9,11
1536889209,6,5
1536889684,4,12
1536890166,8,7
1536890648,7,6
1536891129,6,8
1536891604,8,9
1536892086,8,7
1536892564,12,10
1536893047,6,7
1536893525,7,7
1536894025,5,11
1536894485,8,7
1536894966,9,10
1536895449,6,4
1536895926,7,5
1536896404,3,7
1536896891,8,6
1536897365,6,7
1536897848,6,7
1536898325,5,5
1536898812,7,7
1536899290,5,3
1536899764,4,5
1536900246,6,8
1536900732,8,8
1536901215,10,6
1536901687,4,6
1536902164,8,5
1536902650,5,9
1536903128,11,8
1536903607,5,4
1536904084,6,8
1536904567,14,11
1536905046,7,8
1536905527,4,5
1536906005,6,7
1536906500,10,6
1536906970,3,6
1536907447,7,3
1536907925,4,6
1536908425,5,8
1536909127,6,7
1536909616,8,5
1536910090,6,6
1536910568,6,6
1536911045,5,4
1536911529,4,4
1536912018,5,9
1536912498,10,9
1536912966,6,5
1536913446,6,2
1536913929,2,1
1536914417,0,1
1536915369,1,0
1536918726,0,1
1536919215,1,0
1536921129,0,1
1536921604,1,0
1536941285,0,1
1536941773,1,0
1536948486,0,1
1536948969,1,0
1536957604,0,1
1536958566,1,1
1536959052,1,0
1536965288,0,1
1536965766,1,0
1536973688,2,7
1536974168,10,13
1536974644,10,5
1536975130,11,7
1536975607,4,7
1536976085,11,9
1536976564,5,9
1536977049,8,6
1536977528,8,7
1536978008,9,8
1536978486,8,10
1536978966,10,8
1536979452,6,3
1536979927,5,9
1536980412,6,5
1536980892,8,7
1536981375,10,8
1536981846,7,6
1536982325,10,9
1536982810,6,8
1536983290,7,4
1536983764,8,6
1536984247,5,6
1536984727,6,7
1536985211,11,10
1536985684,5,3
1536986166,4,7
1536986647,5,8
1536987129,8,5
1536987613,6,8
1536988086,4,5
1536988572,7,6
1536989046,4,9
1536989526,9,6
1536990013,6,4
1536990486,7,8
1536991223,18,14
1536991686,8,10
1536992169,9,6
1536992646,9,10
1536993130,6,4
1536993605,5,7
1536994336,6,15
1536995052,8,7
1536995525,7,9
1536996005,5,7
1536996490,6,10
1536996966,7,5
1536997445,6,11
1536997929,9,4
1536998429,5,4
1536998887,6,2
1536999373,1,10
1536999844,9,4
1537000329,5,1
1537000804,0,1
1537002727,1,0
1537003930,1,1
1537004646,1,1
1537008966,0,1
1537009932,1,0
1537020250,0,1
1537020725,1,0
1537026965,0,1
1537027448,1,0
1537035367,0,1
1537036332,1,0
1537044967,0,1
1537045929,1,0
1537059366,0,1
1537059845,0,2
1537060330,3,11
1537060806,12,6
1537061286,8,10
1537061769,9,9
1537062247,9,12
1537062727,10,8
1537063211,6,6
1537063686,7,5
1537064168,5,9
1537064645,10,7
1537065132,10,9
1537065608,8,9
1537066086,8,6
1537066569,6,9
1537067048,9,7
1537067524,7,6
1537068009,7,11
1537068485,10,4
1537068964,6,11
1537069445,7,6
1537069926,7,8
1537070422,7,6
1537070887,7,6
1537071369,8,10
1537071845,7,8
1537072331,10,8
1537072805,6,4
1537073286,3,3
1537073766,4,6
1537074246,5,5
1537074725,4,9
1537075207,9,6
1537075686,7,6
1537076168,6,8
1537076645,9,10
1537077136,8,7
1537077623,18,14
1537078087,3,3
1537078570,5,7
1537079045,7,4
1537079529,3,10
1537080005,8,4
1537080489,5,12
1537080966,20,8
1537081448,9,4
1537081931,4,8
1537082409,9,6
1537082885,6,5
1537083368,4,5
1537083849,6,5
1537084331,6,8
1537084815,8,6
1537085288,8,6
1537085770,6,7
1537086249,7,6
1537086730,5,1
1537087690,0,1
1537088166,1,0
1537093696,0,1
1537096086,1,0
1537103769,0,1
1537104729,1,0
1537110969,0,1
1537112408,1,1
1537112887,1,0
1537120330,0,1
1537121046,1,0
1537126805,0,1
1537127287,1,0
1537134006,0,1
1537135685,1,0
1537146034,0,2
1537146488,3,7
1537146967,6,11
1537147444,11,8
1537147931,9,7
1537148405,5,6
1537148892,7,10
