DateTime,Entries,UniqueIPs
1536779768,4948,4948
1536785045,4947,4947
1536785530,4948,4948
1536791290,4947,4947
1536793212,4948,4948
1536800885,4941,4941
1536801379,4941,4941
1536801850,4945,4945
1536802331,4945,4945
1536802805,4943,4943
1536803285,4944,4944
1536803765,4941,4941
1536804249,4942,4942
1536804725,4941,4941
1536805208,4941,4941
1536805686,4944,4944
1536806165,4946,4946
1536806645,4944,4944
1536807126,4944,4944
1536807622,4945,4945
1536808096,4946,4946
1536808566,4946,4946
1536809046,4948,4948
1536809529,4947,4947
1536810004,4951,4951
1536810488,4947,4947
1536810967,4950,4950
1536811448,4949,4949
1536811928,4949,4949
1536812405,4947,4947
1536812887,4950,4950
1536813369,4950,4950
1536813846,4952,4952
1536814328,4951,4951
1536814819,4952,4952
1536815288,4954,4954
1536815770,4955,4955
1536816244,4953,4953
1536816728,4952,4952
1536817208,4955,4955
1536817686,4952,4952
1536818169,4954,4954
1536818645,4954,4954
1536819126,4952,4952
1536819606,4954,4954
1536820085,4951,4951
1536820570,4949,4949
1536821048,4953,4953
1536821528,4953,4953
1536822014,4953,4953
1536822486,4954,4954
1536823207,4955,4955
1536823688,4954,4954
1536824164,4951,4951
1536824644,4950,4950
1536825132,4951,4951
1536825631,4950,4950
1536826086,4952,4952
1536826565,4954,4954
1536827046,4957,4957
1536827529,4958,4958
1536831845,4957,4957
1536832819,4958,4958
1536839525,4956,4956
1536840020,4957,4957
1536840981,4958,4958
1536851526,4957,4957
1536852010,4958,4958
1536855369,4957,4957
1536856805,4958,4958
1536869286,4957,4957
1536870729,4956,4956
1536871204,4958,4958
1536880566,4957,4957
1536881045,4958,4958
1536886326,4957,4957
1536887288,4951,4951
1536887766,4955,4955
1536888245,4953,4953
1536888729,4951,4951
1536889209,4952,4952
1536889684,4944,4944
1536890166,4945,4945
1536890648,4946,4946
1536891129,4944,4944
1536891604,4943,4943
1536892086,4944,4944
1536892564,4946,4946
1536893047,4945,4945
1536893525,4945,4945
1536894025,4939,4939
1536894485,4940,4940
1536894966,4939,4939
1536895449,4941,4941
1536895926,4943,4943
1536896404,4939,4939
1536896891,4941,4941
1536897365,4940,4940
1536897848,4939,4939
1536898325,4939,4939
1536898812,4939,4939
1536899290,4941,4941
1536899764,4940,4940
1536900246,4938,4938
1536900732,4938,4938
1536901215,4942,4942
1536901687,4940,4940
1536902164,4943,4943
1536902650,4939,4939
1536903128,4942,4942
1536903607,4943,4943
1536904084,4941,4941
1536904567,4944,4944
1536905046,4943,4943
1536905527,4942,4942
1536906005,4941,4941
1536906500,4945,4945
1536906970,4942,4942
1536907447,4946,4946
1536907925,4944,4944
1536908425,4941,4941
1536909127,4940,4940
1536909616,4943,4943
1536910090,4943,4943
1536910568,4943,4943
1536911045,4944,4944
1536911529,4944,4944
1536912018,4940,4940
1536912498,4941,4941
1536912966,4942,4942
1536913446,4946,4946
1536913929,4947,4947
1536914417,4946,4946
1536915369,4947,4947
1536918726,4946,4946
1536919215,4947,4947
1536921129,4946,4946
1536921604,4947,4947
1536941285,4946,4946
1536941773,4947,4947
1536948486,4946,4946
1536948969,4947,4947
1536957604,4946,4946
1536958566,4946,4946
1536959052,4947,4947
1536965288,4946,4946
1536965766,4947,4947
1536973688,4942,4942
1536974168,4939,4939
1536974644,4944,4944
1536975130,4948,4948
1536975607,4945,4945
1536976085,4947,4947
1536976564,4943,4943
1536977049,4945,4945
1536977528,4946,4946
