DateTime,AddedIPs,RemovedIPs
1536995524,17,0
1536996123,37,60
1536996723,50,0
1536997324,40,44
1536997923,39,30
1536998524,41,51
1536999123,39,85
1536999723,63,0
1537000323,41,36
1537000923,37,49
1537001523,47,55
1537002123,29,131
1537003323,38,47
1537003924,34,53
1537004523,35,53
1537005123,39,50
1537005723,39,51
1537006324,44,52
1537006923,32,93
1537007524,36,0
1537008124,34,30
1537008724,35,0
1537009323,38,0
1537009923,27,68
1537010523,32,0
1537011123,38,102
1537011723,36,46
1537012324,47,0
1537012924,32,22
1537013523,37,39
1537014124,48,41
1537014723,47,0
1537015324,23,67
1537015923,38,0
1537016524,35,29
1537017123,39,68
1537017723,35,38
1537018923,40,39
1537020123,37,46
1537021323,41,0
1537021923,43,14
1537022523,31,43
1537023723,20,21
1537024323,32,57
1537024924,38,0
1537025524,38,39
1537026123,28,34
1537027324,40,98
1537027923,39,0
1537028524,48,162
1537029125,36,0
1537029723,40,47
1537030323,36,0
1537030924,51,0
1537031523,41,30
1537032124,25,0
1537033324,36,68
1537034524,24,0
1537035123,38,39
1537035723,33,0
1537036324,44,31
1537036924,22,0
1537038123,36,106
1537038723,39,0
1537039323,16,49
1537039923,33,33
1537040523,49,23
1537041124,43,32
1537041725,34,0
1537042324,41,45
1537042923,28,76
1537044123,38,0
1537044723,40,31
1537045323,30,0
1537045924,29,24
1537046523,37,27
1537047123,28,0
1537047724,30,34
1537048924,35,40
1537049523,30,45
1537050123,40,78
1537051323,16,0
1537052523,18,108
1537053123,25,0
1537053724,27,66
1537054323,39,33
1537054924,30,25
1537056124,33,59
1537056723,37,28
1537057323,34,0
1537057924,29,34
1537058523,25,18
1537059123,34,32
1537059723,53,30
1537060324,33,22
1537060923,14,61
1537061523,30,42
1537062124,38,27
1537063323,40,0
1537063923,48,23
1537064524,27,25
1537065123,22,39
1537065724,34,0
1537066923,33,68
1537068123,19,62
1537069324,37,31
1537069923,29,52
1537070523,38,37
1537071124,38,37
1537071724,41,34
1537072324,38,0
1537072923,55,28
1537074124,33,64
1537075324,36,48
1537075923,24,36
1537076523,51,23
1537077123,56,0
1537077723,50,31
1537078324,45,81
1537078923,27,0
1537079523,45,26
1537080123,44,54
1537080723,53,38
1537081323,47,0
1537082523,40,52
1537083123,50,69
1537083723,53,29
1537084923,48,63
1537085523,44,0
1537086123,42,85
1537086724,44,35
1537087324,38,37
1537087923,46,41
1537088523,25,0
1537089124,41,28
1537089723,47,55
1537090323,43,51
1537090923,43,51
1537091523,30,49
1537092123,44,55
1537092724,49,0
1537093324,36,47
1537093923,34,32
1537094523,40,38
1537095123,36,38
1537095723,50,78
1537096323,26,32
1537096923,62,37
1537098123,35,37
1537098723,31,63
1537099324,53,0
1537100523,26,81
1537101123,28,86
1537101723,49,0
1537102923,47,62
1537103523,46,40
1537104124,39,43
1537105323,41,38
1537106525,37,85
1537107724,49,0
1537108324,38,73
1537108923,45,18
1537110123,34,29
1537110723,48,0
1537111323,64,35
1537111924,49,41
1537112523,47,63
1537113123,18,0
1537113724,57,0
1537114323,57,48
1537114924,48,48
1537115524,47,48
1537116123,37,52
1537116724,53,45
1537117323,52,35
1537117924,53,93
1537118523,40,26
1537119723,43,0
1537120324,37,40
1537120923,43,27
1537121524,42,0
1537122123,52,35
1537122724,44,83
1537123324,34,26
1537123923,40,0
1537124524,44,52
1537125125,33,49
1537125723,60,19
1537126323,52,28
1537126923,36,0
1537127523,42,86
1537128123,48,0
1537128724,62,27
1537129323,40,42
1537130523,48,34
1537131723,34,109
1537132923,49,33
1537133523,44,28
1537134123,52,30
1537135323,42,48
1537135923,45,70
1537136523,50,0
1537137723,45,41
1537138323,43,18
1537138924,36,0
1537140125,44,101
1537140724,41,40
1537141323,40,33
1537141923,29,0
1537142523,50,0
1537143124,43,46
1537143723,60,33
1537144323,34,59
1537144923,57,30
1537145523,42,29
1537146123,55,51
1537146723,55,32
1537147324,54,0
1537147924,36,37
1537148523,43,45
1537149125,48,43
1537149724,46,45
1537150923,39,34
1537151524,50,69
1537152123,47,56
1537153324,48,0
1537154523,44,68
1537155724,47,39
1537156323,43,0
1537156923,48,91
1537157524,43,40
1537158124,43,41
1537159323,45,100
1537159923,43,0
1537160524,51,0
1537161123,54,33
1537161723,42,40
1537162324,51,0
1537162924,39,83
1537163523,47,0
1537164123,43,97
1537164724,50,0
1537165324,49,85
1537165924,51,0
1537166523,39,101
1537167123,51,44
1537167724,46,0
1537168323,43,50
1537168923,48,0
1537169523,34,86
1537170125,50,0
1537170723,56,37
1537171324,48,0
1537171923,42,90
1537172524,50,0
1537173123,58,89
1537173724,44,0
1537174323,49,81
1537174923,42,26
1537175523,53,0
1537176123,31,59
1537176724,32,61
1537177324,47,53
1537177924,46,52
1537178524,41,27
1537179124,43,100
1537179724,40,44
1537180923,53,77
1537181523,46,40
1537182123,55,0
1537182723,43,46
1537183323,35,21
1537183924,44,64
1537184523,52,40
1537185123,43,0
1537185724,48,79
1537186323,51,0
1537186924,58,0
1537187524,52,34
1537188123,31,81
1537188723,44,0
1537189323,36,54
1537189923,40,0
1537190524,44,84
1537191123,43,0
1537191724,34,45
1537192923,43,36
1537193524,66,0
1537194123,32,50
1537194723,50,46
1537195323,56,41
1537195924,50,0
1537196524,58,0
1537197723,48,143
1537198323,34,41
1537198923,68,0
1537199524,42,42
1537200124,68,31
1537200723,37,89
1537201325,53,0
1537202523,42,164
1537203123,43,53
1537203725,55,50
1537204924,42,50
1537205523,55,39
1537206123,60,33
1537207323,47,40
1537208523,37,150
1537209723,57,57
1537210323,40,71
1537210923,48,0
1537211525,33,49
1537212124,52,71
1537212723,54,53
1537213323,56,45
1537213923,49,0
1537214523,54,93
1537215123,49,0
1537215723,27,93
1537216924,64,47
1537218124,50,36
1537219325,37,0
1537219923,37,99
1537220523,48,48
1537221124,44,0
1537221723,41,57
1537222323,49,0
1537222923,43,55
1537224123,42,100
1537224723,34,0
1537225324,40,55
1537225923,54,43
1537226523,56,0
1537227724,40,122
1537228323,46,0
1537228924,57,65
1537229523,40,47
1537230724,61,77
1537231323,56,48
1537232523,44,46
1537233123,45,94
1537233723,44,52
1537234923,38,94
1537236123,40,91
1537236723,42,0
1537237323,58,0
1537238523,59,87
1537239124,50,59
1537239723,54,53
1537240324,28,0
1537240923,57,33
1537241523,50,0
1537242123,32,0
1537243323,43,99
1537244523,40,113
1537245724,41,32
1537246323,51,46
1537246924,44,44
1537247524,58,98
1537248123,44,0
1537248723,39,34
1537249323,35,48
1537249923,44,35
1537250523,51,92
1537251723,46,48
1537252925,44,100
1537254124,54,141
1537254725,36,30
1537255323,45,35
1537255923,47,0
1537256523,51,87
1537257123,38,49
1537257724,50,0
1537258923,53,131
1537259524,47,48
1537260123,37,35
1537260724,51,0
1537261323,63,49
1537261924,49,96
1537262524,58,0
1537263724,50,134
1537264323,40,46
1537264924,58,61
1537265524,37,0
1537266124,51,56
1537267324,34,45
1537267924,46,37
1537268524,41,102
1537269124,45,49
1537269724,39,45
1537270324,51,0
1537270924,53,102
1537271524,35,40
1537272123,42,29
1537272724,59,0
1537273323,45,58
1537274523,27,96
1537275123,28,32
1537275723,33,49
1537276923,50,90
1537278123,56,136
1537278723,45,0
1537279323,47,0
1537280523,54,111
1537281123,63,25
1537281723,39,51
1537282924,36,105
1537283523,45,57
1537284123,38,0
1537284723,65,45
1537285323,64,113
1537285923,45,39
1537286523,37,70
1537288324,47,107
1537288923,57,0
1537289524,53,36
1537290124,44,106
1537290724,41,0
1537291323,70,52
1537291924,65,0
1537292523,60,120
1537293123,52,0
1537293724,67,34
1537294923,68,0
1537296123,42,82
1537296723,62,0
1537297323,65,52
1537297924,58,60
1537298525,68,38
1537299124,46,50
1537299723,57,59
1537300323,57,100
1537300923,71,0
1537301524,62,46
1537302123,75,116
1537302723,59,0
1537303323,54,0
1537303924,41,43
1537304524,48,0
1537305723,56,104
1537306324,39,0
1537306923,54,36
1537308123,46,115
1537308724,52,54
1537309324,44,59
1537310523,51,55
1537311124,42,41
1537311723,57,93
1537312324,53,0
1537312924,50,116
1537313523,29,0
1537314124,53,0
1537314724,57,41
1537315324,50,59
1537315924,47,89
1537316523,48,0
1537317723,40,50
1537318923,53,92
1537319523,59,0
1537320124,47,44
1537321324,61,94
1537321924,51,0
1537322523,39,0
1537323724,69,120
1537324323,76,0
1537324923,50,0
1537326123,57,108
1537326724,58,52
1537327323,49,41
1537327923,53,60
1537328523,52,86
1537329723,44,0
1537330925,53,103
1537332124,44,0
1537333324,47,135
1537334524,48,56
1537335723,62,129
1537336325,54,55
1537336923,59,0
1537338123,58,96
1537338724,46,0
1537339324,67,46
1537339923,46,0
1537340525,35,0
1537341124,58,51
1537341723,49,89
1537342323,57,0
1537342923,50,45
1537344124,42,135
1537344724,58,0
1537345323,66,0
1537345924,63,58
1537346524,65,52
1537347725,55,89
1537348324,78,61
1537348923,52,42
1537350123,52,47
1537350723,52,61
1537351323,45,118
1537351924,73,44
