DateTime,AddedIPs,RemovedIPs
1536981723,15,0
1536982323,35,23
1536982923,43,33
1536983523,23,0
1536984123,11,0
1536985324,11,6
1536985923,7,9
1536986522,4,1
1536987723,6,34
1536988324,5,0
1536988922,2,0
1536990123,77,48
1536990723,35,0
1536991324,38,29
1536991923,16,0
1536992523,14,0
1536993123,17,8
1536993722,3,6
1536994323,5,16
1536994923,4,9
1536995524,2,0
1536996123,1,18
1536996723,7,0
1536997324,7,0
1536997923,47,2
1536998524,20,2
1536999123,21,85
1536999723,10,0
1537000323,21,25
1537000923,26,0
1537001523,18,41
1537002123,16,32
1537003323,30,27
1537003924,25,7
1537004523,10,4
1537005123,8,3
1537005723,48,1
1537006324,43,22
1537006923,19,73
1537008123,3,7
1537008724,0,4
1537009323,2,0
1537009923,3,6
1537010523,6,0
1537011123,2,15
1537011723,11,17
1537012924,24,0
1537013523,4,4
1537014123,11,29
1537014723,7,0
1537015324,45,39
1537016524,48,0
1537017123,34,30
1537017723,19,27
1537018923,47,32
1537020123,47,46
1537021323,29,0
1537021923,4,52
1537022523,5,52
1537023723,50,0
1537024323,16,51
1537024924,3,0
1537026123,18,26
1537027323,39,52
1537027923,20,0
1537028523,13,101
1537029124,43,0
1537029723,27,58
1537030323,49,0
1537030923,55,0
1537032123,57,29
1537032723,26,9
1537033323,26,3
1537034523,27,2
1537035123,8,5
1537035722,3,0
1537036324,6,10
1537036923,5,0
1537038123,28,102
1537038723,33,0
1537039323,32,23
1537039923,23,9
1537040523,0,4
1537041724,7,5
1537042323,2,5
1537042923,3,14
1537044123,2,0
1537044723,2,22
1537045323,6,0
1537045924,9,51
1537046523,65,55
1537047123,31,0
1537047723,46,29
1537048323,41,0
1537048924,33,30
1537049523,30,30
1537050123,9,21
1537051323,10,1
1537051923,3,8
1537052523,11,14
1537053123,4,0
1537053723,11,55
1537054323,46,5
1537054923,20,23
1537055522,19,0
1537056124,8,32
1537056723,4,0
1537057323,57,0
1537058523,59,15
1537059122,7,29
1537059723,13,0
1537060323,6,21
1537060923,1,34
1537061523,29,6
1537062124,19,14
1537062723,7,0
1537063323,7,0
1537063923,7,9
1537064523,15,1
1537065122,4,0
1537065724,3,0
1537066923,16,31
1537068123,54,49
1537069323,65,66
1537069923,23,21
1537070523,9,6
1537071724,13,14
1537072324,10,0
1537072923,4,4
1537074124,3,10
1537074723,3,5
1537075323,3,3
1537075923,1,41
1537076522,2,29
1537077123,29,0
1537077723,43,40
1537078324,34,44
1537078923,28,0
1537079523,12,12
1537080123,8,7
1537080723,11,3
1537081323,2,0
1537082523,12,5
1537083123,12,8
1537083723,5,27
1537084323,13,11
1537084923,41,25
1537085523,17,0
1537086123,12,53
1537086723,9,23
1537087323,6,24
1537087923,17,19
1537088523,11,0
1537089123,3,30
1537089723,26,17
1537090323,23,12
1537090923,2,15
1537091523,3,44
1537092123,16,31
1537092724,17,0
1537093323,29,26
1537094523,22,5
1537095123,6,2
1537095723,3,8
1537096323,2,5
1537096923,22,5
1537098123,9,8
1537098723,4,25
1537099324,8,0
1537100523,12,18
1537101123,40,41
1537101723,51,0
1537102923,47,47
1537103523,57,36
1537104124,18,25
1537105323,25,55
1537106524,18,85
1537107724,1,0
1537108324,2,20
1537108923,70,46
1537110123,52,0
1537110723,7,16
1537111323,0,4
1537111924,1,22
1537112523,1,45
1537113123,6,0
1537113724,22,0
1537114323,24,20
1537114924,0,9
1537115524,35,48
1537116123,18,28
1537116724,48,40
1537117323,40,63
1537117924,37,65
1537118523,1,28
1537119723,11,28
1537120323,4,28
1537120923,2,9
1537121524,6,0
1537122123,4,7
1537122724,4,12
1537123323,22,34
1537123923,14,0
1537124524,53,24
1537125124,75,32
1537125723,11,31
1537126323,7,6
1537126923,1,0
1537127523,1,8
1537128123,4,0
1537128723,1,4
1537129323,2,4
1537130523,24,3
1537131123,4,5
1537131723,2,20
1537132323,30,0
1537132923,18,45
1537133523,27,30
1537134123,26,39
1537135323,2,74
1537135923,13,39
1537137723,8,9
1537138323,4,15
1537138923,1,0
1537140124,30,52
1537140724,23,18
1537141323,21,19
1537141923,0,11
1537143123,1,6
1537143723,43,57
1537144323,18,69
1537144923,16,7
1537146123,29,24
1537146723,4,2
1537147323,20,0
1537148523,47,60
1537149124,10,22
1537149724,4,11
1537150923,2,25
1537151523,2,13
1537152123,7,24
1537153324,40,0
1537154523,41,95
1537155123,51,0
1537155724,28,22
1537156323,10,0
1537156923,6,33
1537158124,4,11
1537159323,7,9
1537159923,2,0
1537160524,3,0
1537161123,8,11
1537161723,5,1
1537162323,6,0
1537162924,61,29
1537163523,30,0
1537164123,26,84
1537164724,2,0
1537165323,23,48
1537165923,23,0
1537166523,14,21
1537167123,13,4
1537167724,14,0
1537168923,13,26
1537169523,1,10
1537170124,16,0
1537170723,39,18
1537171323,18,43
1537171923,18,29
1537172523,11,0
1537173123,13,16
1537173723,40,0
1537174322,11,34
1537174923,4,3
1537175523,43,0
1537176123,48,43
1537176723,6,0
1537177324,12,3
1537177924,8,3
1537178523,30,20
1537179124,25,37
1537179723,23,13
1537180923,17,4
1537181523,12,4
1537182123,7,0
1537182723,5,3
1537183323,20,30
1537183924,6,13
1537184523,5,5
1537185723,10,19
1537186323,6,0
1537186924,5,0
1537188123,57,140
1537188723,51,0
1537189323,10,51
1537190523,29,71
1537191123,19,0
1537191724,39,13
1537192923,24,0
1537193523,11,0
1537194123,8,1
1537194723,4,45
1537195323,9,43
1537195924,57,0
1537196524,36,0
1537197723,50,8
1537198323,11,2
1537198923,9,0
1537200124,35,26
1537200723,13,18
1537201325,5,0
1537202522,56,103
1537203123,21,43
1537203724,46,47
1537204323,36,0
1537204923,3,5
1537205523,6,14
1537206123,3,5
1537206723,2,0
1537207323,6,0
1537208523,27,18
1537209723,4,22
1537210323,42,61
1537210923,2,0
1537211524,50,55
1537212123,10,30
1537212723,8,3
1537213323,8,2
1537213923,5,0
1537214523,7,13
1537215123,3,0
1537215723,3,37
1537216923,5,5
1537217522,3,0
1537218123,0,29
1537219324,47,10
1537219923,18,56
1537220523,25,5
1537221124,7,0
1537221722,2,14
1537222323,20,0
1537222923,19,0
1537224123,20,17
1537225324,3,1
1537225922,7,36
1537226523,11,0
1537227123,31,22
1537227724,16,20
1537228322,13,0
1537228924,6,4
1537229523,10,23
1537230723,62,27
1537231323,42,27
1537232523,54,0
1537233123,6,28
1537233723,3,38
1537234923,28,7
1537235523,31,0
1537236123,18,8
1537237323,10,0
1537238522,27,13
1537239723,18,85
1537240324,20,0
1537240922,7,41
1537241523,21,19
1537242123,39,0
1537242723,28,9
1537243323,5,5
1537244523,9,21
1537245724,7,7
1537246924,7,3
1537247524,4,18
1537248123,9,0
1537249323,15,46
1537249923,4,24
1537250523,39,26
1537251723,48,28
1537252925,74,34
1537253523,69,12
1537254123,35,15
1537254724,28,0
1537255323,28,1
1537256523,40,42
1537257123,37,15
1537257723,27,0
1537258324,16,27
1537258923,7,27
1537259523,8,33
1537260123,6,11
1537261323,6,4
1537261924,3,83
1537262524,10,0
1537263723,25,36
1537264323,21,30
1537264924,28,19
1537266124,57,13
1537267324,43,23
1537268524,48,23
1537269124,28,18
1537269723,16,8
1537270323,15,0
1537270924,5,16
1537271524,14,0
1537272123,7,7
1537272724,3,0
1537273322,3,10
1537274523,15,55
1537275723,45,53
1537276323,15,35
1537276923,25,0
1537278122,68,72
1537278723,21,0
1537279323,33,0
1537280523,38,15
1537281122,12,5
1537281723,7,14
1537282923,47,73
1537283523,32,48
1537284123,17,0
1537284723,3,12
1537285323,22,49
1537285923,10,0
1537286523,25,14
1537287724,53,60
1537288923,77,0
1537289524,31,23
1537290124,38,71
1537290724,30,4
1537291323,27,3
1537292523,48,7
1537293123,32,7
1537293724,27,31
1537294323,20,0
1537294923,14,0
1537296123,42,41
1537297323,44,4
1537298525,36,56
1537299124,46,17
1537299723,26,7
1537300323,34,15
1537300923,17,0
1537302123,55,13
1537302723,25,0
1537303322,17,0
1537304524,32,7
1537305723,13,54
1537306923,34,23
1537308123,14,6
1537308723,2,14
1537309324,29,17
1537310523,51,25
1537311124,43,5
1537311723,17,6
1537312324,8,0
1537312923,22,39
1537313523,2,12
1537314124,14,0
1537314723,19,10
1537315323,16,8
1537315924,2,64
1537316523,8,0
1537317723,16,41
1537318923,16,52
1537319523,11,0
1537320124,61,9
1537321323,56,53
1537322522,49,15
1537323723,37,35
1537324322,11,0
1537324923,27,0
1537326123,42,18
1537326724,7,20
1537327323,13,9
1537328523,19,62
1537329722,52,6
1537330924,56,26
1537331523,43,0
1537332124,37,0
1537332724,31,8
1537333324,12,4
1537334524,21,6
1537335723,5,23
1537336923,3,26
1537338123,10,98
1537339323,7,47
1537340524,65,27
1537341123,18,16
1537341723,33,63
1537342323,47,0
1537342923,26,0
1537344123,48,70
1537344724,10,0
1537345323,11,9
1537346523,5,16
1537347724,8,4
1537348323,9,3
1537348923,0,4
1537350123,22,24
1537351322,24,110
1537351923,26,0
