DateTime,AddedIPs,RemovedIPs
1535163654,2,4
1535166363,1,0
1535170857,6,9
1535172658,0,1
1535178057,8,1
1535185255,3,7
1535188850,1,0
1535192444,4,3
1535199657,2,5
1535200557,0,1
1535206875,1,3
1535214058,3,2
1535221257,2,6
1535228455,2,1
1535235664,0,6
1535242855,1,4
1535250056,4,4
1535257258,4,3
1535264465,9,6
1535270751,0,1
1535271654,1,5
1535278867,2,8
1535279757,1,0
1535286058,6,4
1535294153,0,4
1535300455,1,4
1535307661,5,5
1535315751,3,4
1535322051,5,1
1535329255,1,5
1535333763,0,2
1535334659,0,1
1535336464,3,5
1535343659,6,6
1535350855,7,5
1535358064,4,5
1535365247,11,1
1535372453,4,2
1535379668,6,1
1535381464,1,0
1535386850,4,3
1535389558,1,0
1535394061,5,4
1535395851,0,1
1535396760,1,0
1535397663,0,1
1535402165,16,0
1535408455,1,1
1535415654,3,4
1535422854,5,6
1535430061,9,7
1535434555,1,0
1535437275,4,3
1535444473,4,4
1535451661,2,3
1535456169,1,0
1535458851,5,1
1535466061,3,4
1535473263,8,5
1535478659,1,0
1535480464,4,1
1535484071,1,0
1535487664,4,2
1535489453,0,2
1535494862,1,5
1535501166,0,1
1535502079,1,1
1535509268,4,7
1535516463,6,6
1535523665,7,0
1535530869,4,5
1535534454,0,1
1535538059,1,4
1535545251,3,4
1535550654,1,0
1535552461,3,4
1535558761,0,2
1535559653,4,5
1535566856,4,17
1535568658,0,1
1535573159,0,1
1535574064,3,2
1535581256,4,1
1535588454,4,5
1535591152,1,0
1535595668,4,11
1535602858,4,3
1535610058,4,6
1535616350,0,1
1535617277,5,4
1535619958,1,0
1535624460,1,3
1535626297,0,1
1535628965,1,0
1535631659,5,3
1535638856,8,4
1535641555,0,1
1535646052,1,7
1535653258,3,6
1535658660,0,1
1535660461,2,1
1535663154,0,1
1535665852,1,0
1535667661,3,4
1535674861,3,7
1535682060,5,8
1535689261,4,6
1535696465,4,6
1535703666,6,2
1535710861,5,5
1535714604,1,0
1535718069,4,2
1535720769,1,0
1535725271,2,6
1535729757,2,0
1535730674,2,0
1535731565,1,0
1535732456,6,7
1535739664,5,2
1535745959,0,1
1535746863,7,5
1535752254,0,1
1535753164,0,1
1535754071,5,6
1535759479,1,0
1535761265,6,3
1535763963,1,0
1535768463,13,6
1535775664,6,4
1535782860,6,3
1535790058,2,5
1535797264,5,4
1535804464,8,0
1535811668,5,5
1535818865,4,1
1535826065,5,3
1535833262,2,3
1535840463,1,3
1535847681,6,6
1535854865,5,3
1535862060,2,3
1535862971,0,1
